stock,CMSY,mPRM,COMSIR,SSCOM,ensemble_method,ensemble
"Pacific, Southeast Black cusk-eel",0.25,0.74,0.05,0.72,full_ensemble,0.69
"Pacific, Southeast Cabinza grunt",0.61,0.71,1.74,1.37,full_ensemble,1.12
"Pacific, Southeast Carrot squat lobster",0.37,0.59,1.24,1.34,full_ensemble,0.38
"Pacific, Southeast Carrot Squat Lobster",0.64,1,0.93,1.56,full_ensemble,1.13
"Pacific, Southeast Chilean mussel",0.31,0.31,0.1,1.42,full_ensemble,0.89
"Pacific, Southeast Chilean sea urchin",0.94,1.09,1.92,1.48,full_ensemble,0.93
"Pacific, Southeast Cholga mussel",0.49,0.35,0.78,1.73,full_ensemble,1.01
"Pacific, Southeast Corvina",1.6,0.61,0.81,1.71,full_ensemble,0.72
"Pacific, Southeast Elephantfish",0.45,1.05,0.41,1.55,full_ensemble,0.72
"Pacific, Southeast False abalone",0.43,0.83,0.23,1.66,full_ensemble,0.84
"Pacific, Southeast Jumbo flying squid",1.12,2.74,1.06,1.29,full_ensemble,1.35
"Pacific, Southeast Macha clam",0.39,1.44,0.19,1.08,full_ensemble,0.94
"Pacific, Southeast Pacific menhaden",0.84,0.87,0.86,1.22,full_ensemble,1.19
"Pacific, Southeast Pacific seabob",0.47,0.43,0.47,1.78,full_ensemble,0.57
"Pacific, Southeast Pacific thread herring",0.39,0.59,0.29,1.71,full_ensemble,0.58
"Pacific, Southeast Patagonian grenadier",0.42,0.42,0.93,1.34,full_ensemble,0.7
"Pacific, Southeast Patagonian squid",0.5,1.64,1.95,1.39,full_ensemble,0.97
"Pacific, Southeast Patagonian toothfish",0.43,0.88,0.97,0.8,full_ensemble,1.13
"Pacific, Southeast Peruvian banded croaker",0.32,0.49,0.09,1.55,full_ensemble,0.56
"Pacific, Southeast Peruvian calico scallop",1.4,0.58,1.82,1.84,full_ensemble,1.41
"Pacific, Southeast Peruvian rock seabass",0.39,0.54,0.84,1.73,full_ensemble,0.48
"Pacific, Southeast Peruvian weakfish",0.4,0.6,1.78,1.41,full_ensemble,1.02
"Pacific, Southeast Pink cusk-eel",0.45,1.02,0.82,1.31,full_ensemble,0.94
"Pacific, Southeast Red cusk-eel",0.43,0.82,0.21,1.9,full_ensemble,0.76
"Pacific, Southeast Red sea squirt",0.35,0.71,0.18,1.54,full_ensemble,0.61
"Pacific, Southeast Silverside",0.46,0.72,1.95,1.13,full_ensemble,1.05
"Pacific, Southeast Skipjack tuna",0.71,1.46,1.8,1.62,full_ensemble,1.25
"Pacific, Southeast Softshell red crab",0.46,0.79,1.77,1.27,full_ensemble,1.09
"Pacific, Southeast Southern blue whiting",1.1,0.76,1.85,1.54,full_ensemble,1.36
"Pacific, Southeast Southern hake",0.5,0.46,1.7,1.45,full_ensemble,0.75
"Pacific, Southeast Swordfish",1.09,1.23,0.8,1.67,full_ensemble,1.19
"Pacific, Southeast Taca clam",0.5,1.77,0.38,1.81,full_ensemble,0.93
"Pacific, Southeast Tadpole codling",0.43,0.4,1.98,1.51,full_ensemble,0.96
"Pacific, Southeast Western white shrimp",0.44,0.48,0.67,1.57,full_ensemble,0.74
"Pacific, Southeast Whiteleg shrimp",0.27,0.43,0.02,1.82,full_ensemble,0.47
"Pacific, Southeast Yellowfin tuna",0.48,0.91,1.97,1.39,full_ensemble,1.08
"Pacific, Southwest Albacore",0.4,0.65,1.85,1.26,full_ensemble,1.14
"Pacific, Southwest Antarctic butterfish",1.1,1.65,1.32,1.46,full_ensemble,1.24
"Pacific, Southwest Bigeye tuna",0.42,0.61,0.26,1.79,full_ensemble,0.53
"Pacific, Southwest Blue cod",0.58,0.53,1.93,1.64,full_ensemble,1.15
"Pacific, Southwest Blue grenadier",0.44,0.49,1.13,0.92,full_ensemble,0.85
"Pacific, Southwest Blue mackerel",0.58,0.92,1.21,1.14,full_ensemble,1.08
"Pacific, Southwest Bluefin gurnard",0.65,1.2,1.59,1.48,full_ensemble,0.9
"Pacific, Southwest Bulls-eye",0.3,1.02,1.4,1.18,full_ensemble,0.83
"Pacific, Southwest Common warehou",0.97,1.28,1.15,1.38,full_ensemble,1
"Pacific, Southwest Dark ghost shark",1.01,1.51,1.74,1.54,full_ensemble,1.17
"Pacific, Southwest Giant stargazer",0.66,1.1,1.4,1.42,full_ensemble,0.99
"Pacific, Southwest Hapuka",0.95,1.6,1.6,1.54,full_ensemble,1.03
"Pacific, Southwest John dory",0.53,1.51,1.47,1.28,full_ensemble,1.27
"Pacific, Southwest New Zealand dredge oyster",0.29,0.65,0.04,2.14,full_ensemble,0.66
"Pacific, Southwest New Zealand scallop",0.29,0.3,0.12,1.18,full_ensemble,0.96
"Pacific, Southwest Orange roughy",0.32,0.88,0.29,0.83,full_ensemble,0.78
"Pacific, Southwest Piked dogfish",0.86,1.23,0.86,1.68,full_ensemble,1.11
"Pacific, Southwest Pink cusk-eel",0.91,1.66,1.96,1.34,full_ensemble,1
"Pacific, Southwest Red codling",0.46,0.51,0.52,1.24,full_ensemble,0.78
"Pacific, Southwest Red rock lobster",0.45,0.4,0.41,1.64,full_ensemble,0.48
"Pacific, Southwest Red seabream",0.48,0.64,0.8,1.22,full_ensemble,1.03
"Pacific, Southwest Silver gemfish",0.34,0.85,0.78,0.83,full_ensemble,1.01
"Pacific, Southwest Silver scabbardfish",0.49,1.25,1.2,1,full_ensemble,1.01
"Pacific, Southwest Silver warehou",0.92,1.84,1.98,1.59,full_ensemble,1.24
"Pacific, Southwest Skipjack tuna",1.26,0.89,1.41,1.28,full_ensemble,1.17
"Pacific, Southwest Southern blue whiting",0.54,0.48,1.7,1.53,full_ensemble,0.92
"Pacific, Southwest Southern bluefin tuna",0.38,0.53,0.76,0.96,full_ensemble,0.67
"Pacific, Southwest Southern hake",0.54,0.54,0.97,0.96,full_ensemble,1.36
"Pacific, Southwest Spotted estuary smooth-hound",0.44,1.16,1.33,1.3,full_ensemble,1.01
"Pacific, Southwest Swordfish",0.78,1.4,1.93,1.77,full_ensemble,1.4
"Pacific, Southwest Tarakihi",0.58,1.1,1.59,1.5,full_ensemble,0.79
"Pacific, Southwest Tope shark",0.93,1.59,1.53,1.93,full_ensemble,1.19
"Pacific, Southwest Wellington flying squid",0.58,2.07,1,1.23,full_ensemble,1.35
"Pacific, Southwest White trevally",1.3,0.85,1.09,1.19,full_ensemble,1.11
"Pacific, Southwest White warehou",1.07,1.36,1.3,1.48,full_ensemble,1.13
"Pacific, Southwest Yellowfin tuna",0.32,0.54,0.24,1.55,full_ensemble,0.52
"Pacific, Western Central Albacore",1.17,1.89,1.6,1.69,full_ensemble,1.23
"Pacific, Western Central Bali sardinella",1.23,1.04,1.57,1.68,full_ensemble,1.17
"Pacific, Western Central Banana prawn",1.09,0.99,1.53,1.59,full_ensemble,1
"Pacific, Western Central Bigeye scad",1.14,1.51,1.97,1.83,full_ensemble,1.23
"Pacific, Western Central Bigeye tuna",1.17,1.5,1.93,1.77,full_ensemble,1.25
"Pacific, Western Central Black pomfret",1.01,1.39,1.55,1.85,full_ensemble,1.1
"Pacific, Western Central Blood cockle",0.56,2.05,1.87,1.34,full_ensemble,1.24
"Pacific, Western Central Blue swimming crab",1.07,0.89,1.38,1.33,full_ensemble,1.07
"Pacific, Western Central Chacunda gizzard shad",1.41,1.23,1.64,1.92,full_ensemble,1.16
"Pacific, Western Central Chocolate hind",1.23,1.09,0.59,1.92,full_ensemble,1.23
"Pacific, Western Central Chub mackerel",0.52,0.67,1.56,1.63,full_ensemble,0.89
"Pacific, Western Central Cobia",1.27,1.3,1.88,1.59,full_ensemble,1.12
"Pacific, Western Central Common dolphinfish",1.44,1.25,1.23,1.49,full_ensemble,1
"Pacific, Western Central Daggertooth pike conger",1.05,2.12,1.77,1.43,full_ensemble,1.08
"Pacific, Western Central Dorab wolf-herring",0.41,0.62,1.25,1.37,full_ensemble,0.83
"Pacific, Western Central Endeavour shrimp",0.56,0.61,1.39,1.24,full_ensemble,0.86
"Pacific, Western Central Flathead lobster",0.4,0.45,1.79,1.14,full_ensemble,0.91
"Pacific, Western Central Giant tiger prawn",0.95,0.82,1.48,1.7,full_ensemble,1.08
"Pacific, Western Central Goldstripe sardinella",1.13,1.32,1.57,1.58,full_ensemble,1.08
"Pacific, Western Central Great barracuda",0.46,0.82,0.75,1.57,full_ensemble,0.74
"Pacific, Western Central Greater lizardfish",1,1.24,1.97,1.61,full_ensemble,1.09
"Pacific, Western Central Green tiger prawn",1.3,0.58,0.78,1.53,full_ensemble,1.09
"Pacific, Western Central Indian mackerel",1.08,1.42,1.81,1.66,full_ensemble,1.43
"Pacific, Western Central Indian pellona",0.9,0.85,1.95,1.49,full_ensemble,1.26
"Pacific, Western Central Indian scad",0.48,0.96,1.9,1.27,full_ensemble,0.91
"Pacific, Western Central Indian spiny turbot",1.14,1.02,1.57,1.68,full_ensemble,1.05
"Pacific, Western Central Indo-Pacific king mackerel",0.99,1.33,1.65,1.69,full_ensemble,1.14
"Pacific, Western Central Indo-Pacific swamp crab",1.19,1.09,1.59,1.89,full_ensemble,1.01
"Pacific, Western Central Kawakawa",0.91,1.19,1.96,1.66,full_ensemble,1.26
"Pacific, Western Central Largehead hairtail",0.51,1.52,1.59,1.21,full_ensemble,1.31
"Pacific, Western Central Longtail tuna",0.98,1.21,0.71,1.22,full_ensemble,1.2
"Pacific, Western Central Mangrove red snapper",1.1,0.7,1.39,1.43,full_ensemble,0.85
"Pacific, Western Central Moonfish",1.19,1.29,1.4,1.66,full_ensemble,1.41
"Pacific, Western Central Narrow-barred Spanish mackerel",1.16,1.79,1.54,1.88,full_ensemble,1.18
"Pacific, Western Central Rainbow runner",1.14,1.25,1.5,1.43,full_ensemble,0.92
"Pacific, Western Central Short mackerel",1.15,1.68,1.45,1.85,full_ensemble,1.11
"Pacific, Western Central Silver pomfret",1.11,1.51,1.34,1.87,full_ensemble,1.11
"Pacific, Western Central Striped marlin",1.45,0.95,1.13,1.57,full_ensemble,0.85
"Pacific, Western Central Swordfish",1.06,1.3,0.6,1.38,full_ensemble,1.23
"Pacific, Western Central Toli shad",0.55,0.75,1.62,1.4,full_ensemble,0.94
"Pacific, Western Central Torpedo scad",1.02,1.42,1.65,1.53,full_ensemble,1.05
"Pacific, Western Central Western king prawn",0.55,0.63,1.34,1.3,full_ensemble,1
"Pacific, Western Central Yellowfin tuna",1.08,1.66,1.64,1.58,full_ensemble,1.01
"Pacific, Western Central Yellowstripe scad",1.06,1.28,1.69,1.61,full_ensemble,1.02
"Atlantic, Eastern Central African moonfish",NA,0.59,0.34,1.41,fao_cmsy,0.67
"Atlantic, Eastern Central Common cuttlefish",NA,1.09,0,1.43,fao_cmsy,1.35
"Atlantic, Eastern Central West African Spanish mackerel",NA,0.68,0.28,1.8,fao_cmsy,0.68
"Atlantic, Northeast Common pandora",NA,0.4,0.02,1.96,fao_cmsy,0.5
"Atlantic, Northeast European anchovy",NA,0.49,0.08,1.64,fao_cmsy,0.72
"Atlantic, Northeast Garfish",NA,0.52,1.96,1.79,fao_cmsy,1.25
"Atlantic, Northeast Pacific cupped oyster",NA,0.63,0.08,1.42,fao_cmsy,1
"Atlantic, Northwest Alewife",NA,0.39,0.08,1.92,fao_cmsy,0.37
"Atlantic, Northwest American butterfish",NA,0.48,0,1.27,fao_cmsy,0.75
"Atlantic, Northwest American cupped oyster",NA,0.61,0.05,1.82,fao_cmsy,1.1
"Atlantic, Northwest Black seabass",NA,0.39,1.91,1.69,fao_cmsy,0.97
"Atlantic, Northwest Haddock",NA,0.37,0.15,1.57,fao_cmsy,0.69
"Atlantic, Northwest Northern quahog",NA,0.97,0.01,1.68,fao_cmsy,1.56
"Atlantic, Northwest Red hake",NA,0.34,0.07,1.26,fao_cmsy,1.24
"Atlantic, Northwest Scup",NA,0.49,0.14,1.86,fao_cmsy,0.57
"Atlantic, Southeast Cape anchovy",NA,0.62,0.33,1.29,fao_cmsy,0.65
"Atlantic, Southeast Cape rock lobster",NA,0.33,0.1,1.91,fao_cmsy,0.73
"Atlantic, Southeast Little tunny",NA,0.65,0.1,0.63,fao_cmsy,1.08
"Atlantic, Southwest Brazilian menhaden",NA,0.61,0.13,1.55,fao_cmsy,0.61
"Atlantic, Southwest Brazilian sardinella",NA,0.65,0.23,1.35,fao_cmsy,0.75
"Atlantic, Southwest River Plata mussel",NA,0.24,0.01,2,fao_cmsy,0.78
"Atlantic, Western Central Blue runner",NA,1.77,1.96,1.79,fao_cmsy,0.77
"Atlantic, Western Central Gray weakfish",NA,0.44,0.02,1.78,fao_cmsy,0.68
"Atlantic, Western Central Gulf kingcroaker",NA,0.47,0.27,1.55,fao_cmsy,0.56
"Atlantic, Western Central Spot croaker",NA,0.44,0.1,1.84,fao_cmsy,0.38
"Indian Ocean, Eastern Bali sardinella",NA,1.36,1.68,1.55,fao_cmsy,0.83
"Indian Ocean, Eastern Black pomfret",NA,1.67,1.65,1.83,fao_cmsy,1.14
"Indian Ocean, Eastern Bombay duck",NA,1.36,1.98,1.66,fao_cmsy,0.99
"Indian Ocean, Eastern Goldstripe sardinella",NA,1.56,1.5,1.66,fao_cmsy,1.13
"Indian Ocean, Eastern Hilsa shad",NA,1.15,1.97,1.56,fao_cmsy,0.9
"Indian Ocean, Eastern Kawakawa",NA,1.89,1.97,1.7,fao_cmsy,1.07
"Indian Ocean, Eastern Short mackerel",NA,1.61,1.54,1.58,fao_cmsy,1.32
"Indian Ocean, Eastern Snoek",NA,0.8,0.04,1.81,fao_cmsy,1.29
"Indian Ocean, Eastern Yellowstripe scad",NA,1.76,1.82,1.82,fao_cmsy,1.04
"Indian Ocean, Western Kawakawa",NA,1.76,1.97,1.5,fao_cmsy,1.09
"Indian Ocean, Western Spotted codlet",NA,0.34,1.95,1.36,fao_cmsy,1.37
Mediterranean and Black Sea Garfish,NA,0.6,0.32,1.59,fao_cmsy,0.56
"Pacific, Eastern Central Chinook salmon",NA,0.34,1.94,1.02,fao_cmsy,1.38
"Pacific, Eastern Central Common dolphinfish",NA,0.83,1.99,1.47,fao_cmsy,1.36
"Pacific, Eastern Central Pacific anchoveta",NA,0.72,1.35,1.43,fao_cmsy,0.81
"Pacific, Eastern Central Striped marlin",NA,0.54,0.17,1.75,fao_cmsy,0.79
"Pacific, Northeast Pacific herring",NA,0.53,1.95,1.81,fao_cmsy,1.24
"Pacific, Northwest Bigeye tuna",NA,0.6,0.3,1.9,fao_cmsy,0.59
"Pacific, Northwest Black marlin",NA,0.59,0.13,1.86,fao_cmsy,0.67
"Pacific, Northwest Black pomfret",NA,0.53,0.12,1.71,fao_cmsy,0.86
"Pacific, Northwest Blood cockle",NA,1.27,0.24,1.41,fao_cmsy,1.01
"Pacific, Northwest Coho salmon",NA,0.38,0.09,2.06,fao_cmsy,0.46
"Pacific, Northwest Golden threadfin bream",NA,0.47,0.41,1.59,fao_cmsy,0.6
"Pacific, Northwest Japanese hard clam",NA,1.16,0.23,1.54,fao_cmsy,1.11
"Pacific, Northwest Japanese scad",NA,0.73,1.31,1.62,fao_cmsy,0.91
"Pacific, Northwest Korean sandeel",NA,0.57,0.21,1.25,fao_cmsy,0.62
"Pacific, Northwest Moonfish",NA,0.55,0.26,1.61,fao_cmsy,0.58
"Pacific, Northwest Silver sillago",NA,0.4,0.94,1.6,fao_cmsy,1.19
"Pacific, Northwest Silverstriped round herring",NA,0.43,0.02,2.12,fao_cmsy,0.67
"Pacific, Southeast Common dolphinfish",NA,0.84,0.72,1.44,fao_cmsy,0.96
"Pacific, Southeast Pacific anchoveta",NA,0.55,1.27,1.26,fao_cmsy,0.84
"Pacific, Southeast Snoek",NA,0.81,0.09,1.85,fao_cmsy,0.95
"Pacific, Western Central Atlantic blue marlin",NA,0.59,0.09,0.15,fao_cmsy,0.68
"Pacific, Western Central Bombay duck",NA,0.7,0.66,1.47,fao_cmsy,1
"Pacific, Western Central False trevally",NA,1.74,1.99,2.2,fao_cmsy,0.93
"Pacific, Western Central Rainbow sardine",NA,0.73,1.03,1.4,fao_cmsy,0.8
"Pacific, Western Central Silver sillago",NA,1.23,1.49,1.37,fao_cmsy,1.05
"Atlantic, Antarctic Mackerel icefish",0.29,0.77,NA,1.96,fao_comsir,0.74
"Atlantic, Eastern Central Cunene horse mackerel",0.26,0.54,NA,0.93,fao_comsir,0.67
"Atlantic, Eastern Central European pilchard",1.28,1,NA,1.52,fao_comsir,1.34
"Atlantic, Northeast Atlantic cod",0.46,0.45,NA,1.64,fao_comsir,0.77
"Atlantic, Northeast Atlantic herring",1.43,0.76,NA,1.02,fao_comsir,1.22
"Atlantic, Northeast Atlantic horse mackerel",0.48,0.86,NA,1.57,fao_comsir,0.68
"Atlantic, Northeast Atlantic mackerel",1.4,0.9,NA,1.52,fao_comsir,1.16
"Atlantic, Northeast Blue whiting",0.46,0.68,NA,1,fao_comsir,0.99
"Atlantic, Northeast Capelin",0.37,0.54,NA,1.28,fao_comsir,0.44
"Atlantic, Northeast European sprat",1.08,0.79,NA,1.18,fao_comsir,0.99
"Atlantic, Northeast Haddock",0.56,0.52,NA,1.64,fao_comsir,0.96
"Atlantic, Northeast Norway pout",0.32,0.36,NA,2.09,fao_comsir,0.64
"Atlantic, Northeast Saithe",1.39,0.6,NA,1.53,fao_comsir,1.24
"Atlantic, Northwest American angler",0.41,1.28,NA,1.1,fao_comsir,0.96
"Atlantic, Northwest Atlantic herring",0.47,0.57,NA,1.43,fao_comsir,0.64
"Atlantic, Northwest Atlantic mackerel",0.44,0.61,NA,1.14,fao_comsir,0.75
"Atlantic, Northwest Atlantic menhaden",0.5,0.61,NA,1.6,fao_comsir,1.01
"Atlantic, Northwest Capelin",0.38,0.56,NA,1.56,fao_comsir,0.46
"Atlantic, Northwest Northern shortfin squid",0.42,1.28,NA,1.62,fao_comsir,0.99
"Atlantic, Northwest Ocean quahog",1.03,2.33,NA,1.26,fao_comsir,1.08
"Atlantic, Northwest Stimpson surf clam",0.94,2.88,NA,1.36,fao_comsir,1
"Atlantic, Northwest Windowpane",0.25,0.37,NA,1.24,fao_comsir,0.85
"Atlantic, Southeast Cape horse mackerel",0.41,0.77,NA,1.59,fao_comsir,0.67
"Atlantic, Southeast Largehead hairtail",0.29,0.78,NA,1.3,fao_comsir,0.84
"Atlantic, Southwest Argentine hake",1.05,0.64,NA,1.37,fao_comsir,0.96
"Atlantic, Southwest Argentine red shrimp",1.14,0.86,NA,1.7,fao_comsir,1.19
"Atlantic, Western Central Atlantic menhaden",0.28,0.51,NA,0.01,fao_comsir,0.35
"Atlantic, Western Central Northern bluefin tuna",0.41,0.51,NA,1.45,fao_comsir,0.89
"Indian Ocean, Eastern Albacore",1.26,1.75,NA,1.64,fao_comsir,1.55
"Indian Ocean, Eastern Atlantic blue marlin",1.08,1.44,NA,1.59,fao_comsir,1.11
"Indian Ocean, Eastern Blood cockle",0.5,1.76,NA,1.4,fao_comsir,1.25
"Indian Ocean, Western Bigeye tuna",0.53,1.2,NA,0.95,fao_comsir,1.18
"Indian Ocean, Western Indian oil sardine",1.14,1.31,NA,1.36,fao_comsir,0.91
"Indian Ocean, Western Yellowfin tuna",0.51,1.08,NA,1.19,fao_comsir,0.96
Mediterranean and Black Sea Black Sea sprat,0.36,0.41,NA,1.4,fao_comsir,0.39
Mediterranean and Black Sea European anchovy,1.32,0.89,NA,1.47,fao_comsir,1.23
"Pacific, Eastern Central Californian anchovy",0.31,0.55,NA,1.57,fao_comsir,0.68
"Pacific, Eastern Central Chub mackerel",0.35,0.71,NA,1.1,fao_comsir,0.82
"Pacific, Eastern Central Pacific herring",0.29,0.52,NA,2.24,fao_comsir,0.62
"Pacific, Eastern Central South American pilchard",1.15,1.3,NA,1.66,fao_comsir,1.01
"Pacific, Northeast Alaska pollack",1.05,0.67,NA,1.06,fao_comsir,0.78
"Pacific, Northeast Flathead sole",1.19,1.05,NA,1.37,fao_comsir,0.99
"Pacific, Northwest Akiami paste shrimp",1.04,1.11,NA,1.62,fao_comsir,1
"Pacific, Northwest Alaska pollack",0.45,0.46,NA,1.34,fao_comsir,0.74
"Pacific, Northwest Capelin",0.33,0.57,NA,1.39,fao_comsir,0.65
"Pacific, Northwest Chub mackerel",1.4,0.88,NA,1.36,fao_comsir,0.99
"Pacific, Northwest Japanese anchovy",0.91,0.98,NA,1.75,fao_comsir,1.44
"Pacific, Northwest Japanese flying squid",0.59,1.73,NA,1.58,fao_comsir,1.06
"Pacific, Northwest Largehead hairtail",1.2,2.5,NA,1.7,fao_comsir,1.33
"Pacific, Northwest Okhostk atka mackerel",1.16,0.79,NA,1.45,fao_comsir,1.47
"Pacific, Northwest Pacific herring",1.41,0.71,NA,1.18,fao_comsir,1.22
"Pacific, Northwest Pacific saury",1.25,1.44,NA,1.43,fao_comsir,1.44
"Pacific, Northwest Pink salmon",1.06,1.06,NA,1.71,fao_comsir,0.94
"Pacific, Northwest South American pilchard",0.28,0.51,NA,1.45,fao_comsir,0.8
"Pacific, Northwest Yellow croaker",1.19,1.5,NA,1.93,fao_comsir,2
"Pacific, Southeast Anchoveta",0.58,0.62,NA,1.05,fao_comsir,1.31
"Pacific, Southeast Chub mackerel",0.49,0.78,NA,0.97,fao_comsir,0.92
"Pacific, Southeast Inca scad",0.41,0.71,NA,0.66,fao_comsir,1.02
"Pacific, Southeast South American pilchard",0.25,0.43,NA,0.18,fao_comsir,0.63
"Pacific, Southwest Snoek",1.04,1.61,NA,1.46,fao_comsir,1.21
"Pacific, Western Central Skipjack tuna",1.08,1.74,NA,1.74,fao_comsir,1.12
"Atlantic, Eastern Central Bluefish",0.29,NA,0,1.18,fao_costello,0.65
"Atlantic, Eastern Central Red pandora",1.23,NA,1.1,1.16,fao_costello,1.06
"Atlantic, Northeast Common edible cockle",0.32,NA,0.29,1.24,fao_costello,0.43
"Atlantic, Northeast Cuckoo ray",1.31,NA,1.22,1.6,fao_costello,1.02
"Atlantic, Northeast European plaice",0.45,NA,1.06,1.09,fao_costello,0.91
"Atlantic, Northeast Grey gurnard",0.26,NA,1.6,0.74,fao_costello,1
"Atlantic, Northeast Queen scallop",1.17,NA,1.55,1.52,fao_costello,0.84
"Atlantic, Northeast Striped venus",0.51,NA,0.98,1.3,fao_costello,1.09
"Atlantic, Northeast Turbot",1.28,NA,1.75,1.12,fao_costello,1.16
"Atlantic, Northwest Bluefish",0.51,NA,1.21,1.72,fao_costello,0.9
"Atlantic, Northwest Rainbow smelt",0.44,NA,1.85,1.83,fao_costello,0.9
"Atlantic, Northwest Red crab",0.51,NA,1.08,1.29,fao_costello,1.11
"Atlantic, Southeast Red pandora",0.3,NA,0.01,0.43,fao_costello,0.85
"Atlantic, Southwest Bluefish",0.42,NA,0.32,1.65,fao_costello,0.59
"Atlantic, Southwest White morwong",0.4,NA,0.67,1.45,fao_costello,0.73
"Atlantic, Western Central Bluefish",0.38,NA,0.19,1.48,fao_costello,0.62
"Indian Ocean, Antarctic Grey rockcod",0.31,NA,0.05,2.57,fao_costello,0.59
Mediterranean and Black Sea Bluefish,0.46,NA,0.99,1.07,fao_costello,0.87
Mediterranean and Black Sea Gilthead seabream,1.08,NA,1.58,1.41,fao_costello,0.86
Mediterranean and Black Sea Spottail mantis squillid,1.18,NA,1.64,1.67,fao_costello,0.78
Mediterranean and Black Sea Striped venus,1.1,NA,1.63,1.56,fao_costello,0.95
Mediterranean and Black Sea Turbot,0.39,NA,0.33,1.22,fao_costello,0.41
"Pacific, Eastern Central Pacific calico scallop",1.3,NA,0.99,1.62,fao_costello,1.41
"Pacific, Northeast Kamchatka flounder",0.32,NA,0.49,0.92,fao_costello,0.69
"Pacific, Northwest Littlemouth flounder",1.44,NA,1.09,1.49,fao_costello,0.76
"Pacific, Southeast Southern king crab",1.12,NA,1.57,1.62,fao_costello,1.16
"Atlantic, Northeast Common periwinkle",0.39,0.95,1.27,NA,fao_sscom,0.66
"Atlantic, Northeast Northern shortfin squid",1.59,1.69,1.04,NA,fao_sscom,0.49
"Atlantic, Northwest Yellowtail flounder",0.33,0.37,0.11,NA,fao_sscom,0.86
"Atlantic, Southwest Barred grunt",0.3,0.46,0.03,NA,fao_sscom,0.53
"Pacific, Northwest Blackmouth croaker",0.29,0.46,0.02,NA,fao_sscom,0.67
"Pacific, Northwest Giant abalone",0.39,0.8,0.2,NA,fao_sscom,0.86
"Pacific, Northwest Japanese carpet shell",0.41,1.54,0.18,NA,fao_sscom,0.51
"Pacific, Northwest Red king crab",0.29,0.62,0.06,NA,fao_sscom,0.81
"Pacific, Southwest Greenback horse mackerel",0.31,0.52,0.01,NA,fao_sscom,0.58
